jar_path,metadata,mod_id,version,name,has_assets_academy,has_data_academy,has_safari_ticket_base
.fabric/processedMods/lavender-md-owo-ui-0.1.2+1.21-3686f5a10941aebe.jar,fabric.mod.json,lavender-md-owo-ui,0.1.2+1.21,lavender-md-owo-ui,False,False,False
.fabric/processedMods/midnightlib-1.6.3-3d3990fd7aec4835.jar,fabric.mod.json,midnightlib,1.6.3,MidnightLib,False,False,False
.fabric/processedMods/mixinextras-0.5.0-1f6627383f457848.jar,fabric.mod.json,mixinextras,0.5.0,MixinExtras,False,False,False
.fabric/processedMods/mixinsquared-0.3.3-1faaa32d484d298b.jar,fabric.mod.json,mixinsquared,0.3.3,MixinSquared,False,False,False
.fabric/processedMods/mixson-1.4.0-b7bcd5ddb315a028.jar,fabric.mod.json,mixson,1.4.0,Mixson,False,False,False
.fabric/processedMods/mm-2.3-dea3eead7ecec716.jar,fabric.mod.json,mm,2.3,Manningham Mills,False,False,False
.fabric/processedMods/more_codecs-0.3.3+1.20.2-408d45e66c74cc75.jar,fabric.mod.json,more_codecs,0.3.3+1.20.2,More Codecs,False,False,False
.fabric/processedMods/net_jodah_typetools-0.6.3-642073fc7c1a731e.jar,fabric.mod.json,net_jodah_typetools,0.6.3,typetools,False,False,False
.fabric/processedMods/net_kyori_adventure-api-4.17.0-5f0a88d87e33e82c.jar,fabric.mod.json,net_kyori_adventure-api,4.17.0,adventure-api,False,False,False
.fabric/processedMods/net_kyori_adventure-key-4.17.0-4191d40790494a59.jar,fabric.mod.json,net_kyori_adventure-key,4.17.0,adventure-key,False,False,False
.fabric/processedMods/net_kyori_adventure-platform-api-4.3.3-cb5de32bc691a539.jar,fabric.mod.json,net_kyori_adventure-platform-api,4.3.3,adventure-platform-api,False,False,False
.fabric/processedMods/net_kyori_adventure-text-logger-lf4j-4.17.0-3a436af888d0f2d2.jar,fabric.mod.json,net_kyori_adventure-text-logger-slf4j,4.17.0,adventure-text-logger-slf4j,False,False,False
.fabric/processedMods/net_kyori_adventure-text-minimessage-4.17.0-151b41f9cd7d43a9.jar,fabric.mod.json,net_kyori_adventure-text-minimessage,4.17.0,adventure-text-minimessage,False,False,False
.fabric/processedMods/net_kyori_adventure-text-serialiansi-4.17.0-996f6a1c9e006a99.jar,fabric.mod.json,net_kyori_adventure-text-serializer-ansi,4.17.0,adventure-text-serializer-ansi,False,False,False
.fabric/processedMods/net_kyori_adventure-text-serialigson-4.17.0-4ba253172218bafd.jar,fabric.mod.json,net_kyori_adventure-text-serializer-gson,4.17.0,adventure-text-serializer-gson,False,False,False
.fabric/processedMods/net_kyori_adventure-text-serialijson-4.17.0-db816dbec7c589e1.jar,fabric.mod.json,net_kyori_adventure-text-serializer-json,4.17.0,adventure-text-serializer-json,False,False,False
.fabric/processedMods/net_kyori_adventure-text-serialilain-4.17.0-c02ec5c9f1973278.jar,fabric.mod.json,net_kyori_adventure-text-serializer-plain,4.17.0,adventure-text-serializer-plain,False,False,False
.fabric/processedMods/net_kyori_ansi-1.1.0-b21c9b8953a93459.jar,fabric.mod.json,net_kyori_ansi,1.1.0,ansi,False,False,False
.fabric/processedMods/net_kyori_examination-api-1.3.0-c0387b10c23298ea.jar,fabric.mod.json,net_kyori_examination-api,1.3.0,examination-api,False,False,False
.fabric/processedMods/net_kyori_examination-string-1.3.0-1c9f30ec9b2d1134.jar,fabric.mod.json,net_kyori_examination-string,1.3.0,examination-string,False,False,False
.fabric/processedMods/net_kyori_option-1.0.0-d18bbf63ff931f00.jar,fabric.mod.json,net_kyori_option,1.0.0,option,False,False,False
.fabric/processedMods/net_peanuuutz_tomlkt_tomlkt-jvm-0.3.7-e0012c4c6b89a256.jar,fabric.mod.json,net_peanuuutz_tomlkt_tomlkt-jvm,0.3.7,tomlkt-jvm,False,False,False
.fabric/processedMods/org_commonmark_commonmark-0.21.0-2cdad01d6831c39c.jar,fabric.mod.json,org_commonmark_commonmark,0.21.0,commonmark,False,False,False
.fabric/processedMods/org_javassist_javassist-3.29.2-GA-45181c45d12aa638.jar,fabric.mod.json,org_javassist_javassist,3.29.2-GA,javassist,False,False,False
.fabric/processedMods/org_jetbrains_kotlin_kotlin-reflect-2.2.10-9401c09acab43caa.jar,fabric.mod.json,org_jetbrains_kotlin_kotlin-reflect,2.2.10,kotlin-reflect,False,False,False
