species_id,in_datapacks,in_jars,in_scripts,in_configs,spawn_files_datapacks,spawn_files_jars,script_refs,config_refs
cobblemon:nosepass,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0299_nosepass.json,,,
cobblemon:nuzleaf,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:nymble,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0919_nymble.json,,,
cobblemon:oddish,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:omanyte,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:omastar,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:onix,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0095_onix.json | datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0095_onix_crystal.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:oranguru,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0765_oranguru.json,,,
cobblemon:orbeetle,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0826_orbeetle.json,,,
cobblemon:oricorio,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0741_oricorio.json,,,
cobblemon:oshawott,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:palpitoad,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0536_palpitoad.json,,,
cobblemon:pancham,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0674_pancham.json,,,
cobblemon:pangoro,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0675_pangoro.json,,,
cobblemon:paras,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:passimian,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0766_passimian.json,,,
cobblemon:pawmi,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0921_pawmi.json,,,
cobblemon:pawmo,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0922_pawmo.json,,,
cobblemon:pawmot,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0923_pawmot.json,,,
cobblemon:pawniard,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0624_pawniard.json,,,
cobblemon:pheromosa,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0795_pheromosa.json,,,
cobblemon:pichu,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:pidgey,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:pignite,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
